Airtags,step number,lon,lat
20,1,8.04683495417752,50.400579985211600
20,2,23.22650757961490,45.357337529274200
20,3,23.35886027709210,45.422062411596600
20,4,24.32259720266780,42.171903792134800
15,1,8.03898378301287,50.404482082444400
15,2,6.21303732918692,50.818361880421800
15,3,-5.43645509857859,36.125956221002100
15,4,-5.51806192986154,35.875749134546500
15,5,-5.89538394946926,35.668283158864600
2,1,2.14577812620369,41.380705878415600
2,2,2.27505340000000,41.651307900000000
2,3,54.00866500000000,16.946471700000000
2,4,24.80299580000000,66.986483800000000
2,5,24.83047720000000,67.246818800000000
3,1,41.38866680000000,2.168168500000000
3,2,41.46903390000000,1.958219400000000
3,3,41.30982770000000,2.149863800000000
3,4,25.45227126538200,55.521522000000000
8,1,18.25481236000000,40.253106900000000
8,2,16.30360580000000,41.241030300000000
8,3,55.48134770000000,25.450589000000000
8,4,55.63313780000000,24.056283300000000
27,1,9.09198130000000,45.508297500000000
27,2,9.06805460000000,45.600681900000000
27,3,8.99603750000000,45.501566100000000
27,4,67.01653809000000,24.934917630000000
